date,location,url,sponsor,sponsor_url,logo,badge,spotlight
2026-06-02,Moxies Scottsdale,https://maps.app.goo.gl/AS4KzhiAzDkRnh2b8,XYZ Galaxy,https://xyzgalaxy.com,xyz.png,Swag,Exclusive opening week badges.<br/>The brag swag of the year!
2026-06-09,Hop Social - Chandler,https://maps.app.goo.gl/6j7rL5CXo5TtvtP29,Funtopia Express,https://funtopia.express/,lukkimo.png,Swag,Desk toys for <s>kids</s> geeks
2026-06-16,Eureka! Tempe,https://maps.app.goo.gl/6gmbCEoikvosWvhKA,Magic by CJ,https://magicbycj.com/,cj.webp,Magic,Amaze · Amaze · Amaze
2026-06-23,Gallo Blanco - Phoenix,https://maps.app.goo.gl/zFarTu6DQFViXpox5,,,,,
2026-06-30,Moxies Scottsdale,https://maps.app.goo.gl/AS4KzhiAzDkRnh2b8,Florida Coastal University,https://www.floridacoastaluniversity.com/,fcu.png,Appetizers,Industry-driven education.<br/>Real partnerships - real outcomes.
2026-07-07,Hop Social - Chandler,https://maps.app.goo.gl/6j7rL5CXo5TtvtP29,,,,,
2026-07-14,Hundred Mile Brewing Co.,https://maps.app.goo.gl/D1AdxXRcDMn7JcY37,,,,,New Location!
2026-07-21,Arizona Wilderness DTPHX,https://maps.app.goo.gl/ecQ6NQ4iuwnNe1i46,,,,,New Location!
2026-07-28,Moxies Scottsdale,https://maps.app.goo.gl/AS4KzhiAzDkRnh2b8,,,,,
2026-08-04,Hop Social - Chandler,https://maps.app.goo.gl/6j7rL5CXo5TtvtP29,,,,,
2026-08-11,TBD Tempe,,,,,,
2026-08-18,TBD Phoenix,,,,,,
2026-08-25,TBD Scottsdale,,,,,,
