date,location,url,logo,badge,spotlight,sponsor,sponsor_url
2026-06-02,Moxies Scottsdale,https://maps.app.goo.gl/AS4KzhiAzDkRnh2b8,xyz.png,Swag,Exclusive opening week badges.<br/>The brag swag of the year!,XYZ Galaxy,https://xyzgalaxy.com
2026-06-09,Hop Social - Chandler,https://maps.app.goo.gl/6j7rL5CXo5TtvtP29,lukkimo.png,Swag,Desk toys for <s>kids</s> geeks,Funtopia Express,https://funtopia.express/
2026-06-16,Eureka! Tempe,https://maps.app.goo.gl/6gmbCEoikvosWvhKA,cj.webp,Magic,Amaze · Amaze · Amaze,Magic by CJ,https://magicbycj.com/
2026-06-23,Gallo Blanco - Phoenix,https://maps.app.goo.gl/zFarTu6DQFViXpox5,,,,,
2026-06-30,Moxies Scottsdale,https://maps.app.goo.gl/AS4KzhiAzDkRnh2b8,fcu.png,Appetizers,Industry-driven education.<br/>Real partnerships - real outcomes.,Florida Coastal University,https://www.floridacoastaluniversity.com/
2026-07-07,Hop Social - Chandler,https://maps.app.goo.gl/6j7rL5CXo5TtvtP29,,,,,
2026-07-14,Hundred Mile Brewing Co.,https://maps.app.goo.gl/D1AdxXRcDMn7JcY37,,,New Location!,,
2026-07-21,Arizona Wilderness DTPHX,https://maps.app.goo.gl/ecQ6NQ4iuwnNe1i46,,,New Location!,,
2026-07-28,Moxies Scottsdale,https://maps.app.goo.gl/AS4KzhiAzDkRnh2b8,,,,,
2026-08-04,Hop Social - Chandler,https://maps.app.goo.gl/6j7rL5CXo5TtvtP29,,,,,
2026-08-11,Hundred Mile Brewing Co.,https://maps.app.goo.gl/D1AdxXRcDMn7JcY37,,,,,
2026-08-18,Hanny's Phoenix,https://maps.app.goo.gl/4uSKnMzBcTAs9PW69,,,,,
2026-08-25,TBD Scottsdale,,,,,,
